Make,Model,Label,Details,from,to
HONDA,Civic,Civic I Estate,1.5 CVCC  43 KW  ,1975,1977
HONDA,Civic,Civic I Saloon,1.2  40 KW  ,1974,1977
HONDA,Civic,Civic I Saloon,1.5  52 KW  ,1974,1979
HONDA,Civic,Civic I Hatchback (SB),1.2  40 KW  ,1977,1980
HONDA,Civic,Civic I Hatchback (SB),1.2  40 KW  ,1972,1977
HONDA,Civic,Civic I Hatchback (SB) ,1.2  41 KW  ,1975,1979
HONDA,Civic,Civic I Hatchback (SB) ,1.2  44 KW  ,1977,1980
HONDA,Civic,Civic I Hatchback (SB) ,1.3  51 KW  ,1981,1983
HONDA,Civic,Civic I Hatchback (SB) ,1.3  51 KW  ,1981,1983
SUZUKI,Alto,Alto I VXR,1.6 40 KW,2000,2004
